Axial_load,Confining_Pressure,Displesment,Pore_Pressure
19.350,62.510,4.788,3.620
19.120,61.990,4.814,3.510
19.210,62.660,4.841,4.040
19.140,62.850,4.867,3.990
19.210,63.090,4.892,3.990
19.380,63.330,4.920,3.990
19.310,63.710,4.944,4.040
19.380,62.900,4.971,3.670
19.440,63.520,4.998,4.040
19.710,63.620,5.024,4.040
19.600,62.470,5.049,3.720
19.700,63.430,5.074,4.040
19.610,63.570,5.100,3.990
19.580,62.610,5.127,3.780
19.470,63.430,5.151,4.040
19.580,63.520,5.180,3.990
19.460,62.710,5.204,3.880
19.470,62.950,5.229,4.040
19.520,63.040,5.257,4.040
19.590,63.140,5.282,4.040
19.620,63.230,5.308,3.990
19.780,63.280,5.335,4.040
19.870,63.380,5.361,3.990
19.950,63.470,5.387,4.040
19.990,63.620,5.414,3.990
19.910,63.430,5.439,4.040
19.960,63.470,5.466,3.990
20.060,62.370,5.492,3.620
20.030,63.470,5.515,4.040
20.100,63.570,5.542,3.940
20.210,63.620,5.568,3.990
20.050,62.750,5.595,3.720
20.240,63.570,5.616,4.040
20.120,62.850,5.646,4.040
20.120,63.040,5.671,3.940
20.210,63.140,5.698,3.880
20.210,63.280,5.724,3.990
20.360,63.470,5.749,3.990
20.360,62.900,5.777,3.990
20.430,62.610,5.803,3.670
20.420,62.900,5.829,3.990
20.290,62.990,5.853,3.990
20.300,63.040,5.879,3.940
20.390,63.190,5.905,3.940
20.390,63.230,5.929,3.990
20.490,63.330,5.955,4.040
20.470,63.430,5.981,3.990
20.490,63.620,6.007,3.990
20.480,63.230,6.031,3.990
20.470,63.380,6.056,3.990
20.410,63.430,6.082,3.990
20.490,63.470,6.109,3.990
20.580,63.620,6.136,3.990
20.450,63.620,6.159,3.990
20.430,62.900,6.186,3.940
20.230,62.950,6.219,3.940
20.180,63.040,6.238,4.040
20.220,63.140,6.265,3.990
20.230,63.190,6.292,3.940
20.070,63.280,6.317,3.990
20.370,63.280,6.347,3.940
20.510,63.430,6.370,4.040
20.480,63.520,6.397,3.940
20.560,63.570,6.420,4.040
20.660,62.900,6.448,3.940
20.490,63.090,6.473,3.940
20.630,63.190,6.501,3.990
20.510,63.230,6.527,3.990
20.590,63.280,6.552,3.990
20.680,63.430,6.578,3.940
20.710,63.570,6.605,3.940
