Axial_load,Confining_Pressure,Displesment,Pore_Pressure
10.670,81.920,7.617,11.170
10.780,82.300,7.643,11.280
10.790,82.640,7.669,11.220
10.870,82.920,7.693,11.440
10.870,83.260,7.719,11.280
10.950,83.500,7.745,11.280
10.780,82.110,7.768,11.170
10.880,82.490,7.798,11.280
10.900,82.250,7.824,11.280
10.960,82.300,7.850,11.330
10.940,81.920,7.875,11.330
10.900,82.300,7.900,11.330
10.970,82.680,7.928,11.380
11.050,82.160,7.955,11.330
11.150,82.540,7.978,11.330
11.190,82.250,8.004,11.330
11.140,82.200,8.030,11.280
11.230,82.590,8.055,11.380
11.240,82.110,8.081,11.330
11.260,82.490,8.107,11.330
11.280,82.110,8.132,11.330
11.060,82.540,8.158,11.380
11.130,82.300,8.184,11.380
11.140,82.200,8.209,11.330
11.130,82.590,8.238,11.440
11.030,82.300,8.262,11.380
11.060,82.490,8.288,11.380
11.170,82.160,8.311,11.330
11.230,82.540,8.339,11.440
11.230,82.160,8.365,11.220
11.330,82.540,8.388,11.380
11.290,82.350,8.417,11.440
11.240,82.440,8.443,11.490
11.280,82.350,8.470,11.490
11.350,82.110,8.495,11.440
11.390,82.490,8.519,11.490
11.250,82.060,8.544,11.490
11.400,82.440,8.570,11.490
11.630,82.110,8.596,11.330
11.560,82.110,8.621,11.540
11.650,82.440,8.648,11.490
11.630,82.350,8.676,11.540
11.730,82.060,8.699,11.380
11.570,82.160,8.726,11.540
11.610,82.540,8.752,11.540
11.720,81.960,8.778,11.330
11.790,82.160,8.804,11.490
11.780,82.490,8.829,11.490
11.780,81.680,8.858,11.280
11.670,82.640,8.882,11.650
11.730,83.070,8.906,11.590
11.770,83.350,8.934,11.590
11.820,83.640,8.960,11.590
11.870,82.160,8.986,11.330
11.940,81.580,9.012,11.330
11.860,83.160,9.038,11.590
11.790,83.450,9.070,11.590
11.680,82.200,9.089,11.170
11.900,81.820,9.117,11.590
11.910,82.300,9.142,11.590
12.010,82.680,9.169,11.650
11.980,82.200,9.193,11.650
12.060,82.590,9.220,11.650
12.130,82.160,9.248,11.650
12.060,82.920,9.271,11.700
12.050,83.210,9.297,11.650
12.010,83.500,9.321,11.700
12.130,82.350,9.348,11.650
12.180,82.780,9.374,11.700
12.150,83.070,9.400,11.650
12.140,83.350,9.425,11.700
12.250,82.010,9.453,11.380
12.260,82.110,9.476,11.590
12.140,82.590,9.502,11.750
12.150,82.920,9.528,11.750
12.160,83.210,9.554,11.750
12.110,83.450,9.582,11.750
12.060,82.250,9.606,11.590
12.170,82.640,9.630,11.810
11.860,82.250,9.656,11.700
11.960,82.680,9.683,11.750
11.040,82.440,9.734,11.860
11.100,82.200,9.766,11.700
11.230,82.400,9.792,11.700
11.230,81.870,9.820,11.810
11.420,82.640,9.845,11.910
11.730,83.020,9.872,11.860
11.310,83.310,9.918,11.860
11.380,83.550,9.941,11.860
11.600,81.920,9.968,11.650
11.530,82.490,9.994,11.860
11.550,82.110,10.022,11.860
11.520,82.400,10.046,11.750
11.620,82.110,10.071,11.860
11.620,82.400,10.098,11.910
11.620,81.920,10.125,11.860
11.590,82.250,10.150,11.970
11.680,82.590,10.175,11.910
11.730,82.160,10.200,11.810
11.750,82.250,10.227,11.810
11.640,82.160,10.253,11.970
11.650,82.350,10.276,11.910
11.640,82.010,10.305,11.910
11.690,82.350,10.329,11.910
11.790,82.060,10.356,11.860
11.790,82.350,10.380,11.910
11.840,82.400,10.408,11.910
11.860,82.160,10.432,11.910
12.200,82.400,10.457,11.910
11.930,81.870,10.483,11.970
12.040,82.200,10.508,11.970
11.870,82.350,10.535,11.970
12.020,82.350,10.562,12.020
12.060,82.540,10.586,12.020
12.170,82.060,10.613,12.070
12.190,82.400,10.641,12.020
12.180,82.640,10.666,12.070
12.180,81.820,10.689,12.020
12.230,82.350,10.715,12.130
12.260,82.400,10.741,12.020
12.340,82.300,10.768,12.070
12.120,82.060,10.794,11.910
12.200,82.400,10.818,12.070
12.250,82.440,10.845,12.130
12.390,82.640,10.871,12.070
12.210,82.440,10.896,12.180
12.230,82.350,10.923,12.070
12.290,82.350,10.949,12.020
12.050,82.440,10.981,12.130
12.130,82.590,11.031,12.130
12.120,82.110,11.055,12.180
11.920,82.440,11.081,12.130
12.100,82.060,11.107,12.180
12.230,82.440,11.132,12.130
12.380,82.540,11.158,12.130
12.460,82.200,11.184,12.230
12.320,82.590,11.210,12.180
12.500,82.490,11.236,12.130
12.620,82.350,11.262,12.230
12.350,82.730,11.288,12.180
12.520,82.440,11.313,12.230
12.560,82.250,11.340,12.180
12.420,82.060,11.367,12.180
12.370,82.490,11.394,12.230
12.060,82.350,11.431,12.230
12.290,82.110,11.464,12.180
12.380,82.300,11.492,12.130
11.950,82.440,11.514,12.180
12.170,82.730,11.542,12.230
12.220,82.110,11.568,12.180
12.330,82.490,11.593,12.180
12.130,82.300,11.621,12.290
12.220,82.400,11.646,12.230
12.180,82.440,11.674,12.290
12.370,82.250,11.701,12.230
12.310,82.780,11.725,12.290
12.230,83.260,11.755,12.290
12.110,83.590,11.777,12.290
12.350,82.830,11.805,12.290
12.330,83.310,11.829,12.290
12.430,82.680,11.858,12.070
12.490,83.070,11.882,12.340
12.570,83.550,11.910,12.340
12.610,82.200,11.935,12.290
12.440,82.400,11.963,12.390
12.450,82.680,11.985,12.340
12.510,82.540,12.013,12.390
12.560,83.020,12.038,12.340
12.630,83.500,12.062,12.340
12.670,81.960,12.087,12.340
12.820,82.590,12.114,12.390
12.840,83.110,12.138,12.450
12.920,83.550,12.169,12.390
12.820,82.160,12.191,12.290
12.850,82.780,12.218,12.390
13.020,82.680,12.244,12.500
13.050,81.770,12.271,12.230
12.870,82.440,12.298,12.450
12.970,82.920,12.321,12.450
13.070,83.350,12.348,12.450
13.080,81.920,12.376,12.230
13.160,82.540,12.401,12.450
13.040,82.640,12.427,12.500
13.020,82.400,12.453,12.450
13.070,81.960,12.478,12.500
13.020,82.540,12.504,12.500
13.170,82.540,12.532,12.550
13.200,83.020,12.556,12.550
13.210,83.450,12.583,12.500
13.130,82.680,12.610,12.500
13.250,82.200,12.634,12.500
13.100,82.730,12.659,12.550
12.710,83.160,12.686,12.550
12.780,83.640,12.709,12.550
12.800,82.490,12.737,12.500
12.920,83.020,12.762,12.550
13.000,83.450,12.787,12.550
13.100,83.020,12.813,12.610
13.070,83.590,12.841,12.610
13.110,82.640,12.864,12.610
13.070,83.160,12.890,12.610
13.020,83.590,12.917,12.610
13.060,82.830,12.941,12.660
13.180,83.310,12.967,12.610
13.170,82.640,12.993,12.340
13.180,82.110,13.018,12.660
13.250,82.400,13.045,12.550
13.290,82.540,13.073,12.550
13.210,82.540,13.096,12.710
13.280,82.440,13.124,12.710
13.170,82.110,13.149,12.710
13.130,82.590,13.173,12.710
13.170,82.680,13.198,12.710
13.190,83.260,13.223,12.710
13.240,83.110,13.249,12.770
12.980,83.690,13.301,12.770
12.740,82.440,13.343,12.660
12.870,82.400,13.367,12.710
13.040,82.060,13.396,12.660
13.130,82.400,13.422,12.660
13.040,82.300,13.448,12.710
13.050,82.060,13.473,12.770
13.020,82.440,13.499,12.710
13.130,82.300,13.525,12.770
13.060,82.250,13.550,12.660
13.170,81.820,13.577,12.610
13.140,82.490,13.603,12.820
13.250,81.920,13.631,12.610
13.240,83.070,13.657,12.820
13.210,82.160,13.682,12.710
13.190,82.300,13.710,12.870
13.330,82.160,13.736,12.660
13.330,82.350,13.762,12.820
13.340,82.300,13.789,12.820
13.330,83.260,13.814,12.920
13.310,82.920,13.840,12.660
13.350,82.160,13.865,12.870
13.440,82.730,13.892,12.870
13.350,82.590,13.917,12.870
13.300,82.300,13.943,12.870
13.400,81.960,13.969,12.870
13.490,82.440,13.994,12.920
13.620,82.010,14.023,12.770
13.570,82.540,14.047,12.870
13.570,82.640,14.072,12.920
13.550,82.060,14.099,12.870
13.660,82.350,14.125,12.770
13.470,82.060,14.153,12.920
13.530,82.680,14.177,12.870
13.580,83.020,14.202,12.920
13.590,83.450,14.229,12.870
13.720,82.680,14.252,12.820
13.670,83.110,14.278,12.820
13.680,83.550,14.304,12.870
13.700,82.250,14.332,12.770
13.690,82.350,14.356,12.870
13.660,82.540,14.384,12.920
13.620,81.960,14.408,12.870
13.800,82.540,14.433,12.920
13.640,83.020,14.460,12.920
13.680,83.450,14.487,12.870
13.690,82.540,14.511,12.820
13.820,82.400,14.536,12.870
13.830,82.010,14.563,12.870
12.190,82.350,14.652,12.870
12.450,82.590,14.677,12.920
12.560,82.060,14.704,12.870
12.590,82.590,14.727,12.870
12.770,82.540,14.754,12.920
12.760,83.020,14.780,13.140
12.460,83.400,14.832,12.870
12.370,81.920,14.858,12.610
12.600,82.640,14.886,12.870
12.630,83.110,14.914,12.870
12.820,83.550,14.938,12.870
12.820,82.830,14.963,12.870
12.800,83.260,14.989,12.870
12.960,82.490,15.017,12.390
12.970,82.730,15.043,12.920
13.130,82.160,15.069,12.870
13.070,82.590,15.096,12.820
13.020,81.920,15.121,12.820
13.120,82.440,15.148,12.870
13.060,82.110,15.173,12.820
13.190,82.350,15.199,12.770
13.280,82.440,15.226,12.870
13.150,82.300,15.251,12.870
13.160,82.440,15.278,12.870
13.300,82.060,15.306,12.770
13.310,82.490,15.330,12.920
13.230,82.160,15.357,12.820
13.170,83.020,15.382,12.870
13.340,83.350,15.408,12.820
13.280,82.400,15.431,12.770
13.240,82.250,15.460,12.920
13.340,82.640,15.485,12.870
13.140,82.540,15.510,12.870
13.270,81.870,15.537,12.870
13.410,82.400,15.563,12.870
13.460,82.730,15.589,12.870
13.520,83.160,15.616,12.870
13.380,83.500,15.641,12.870
13.390,82.730,15.666,12.870
13.410,82.400,15.692,12.770
13.400,82.110,15.717,12.920
13.150,82.350,15.750,12.770
13.240,82.590,15.770,12.820
13.420,82.490,15.795,12.820
13.520,82.490,15.821,12.820
13.500,82.160,15.848,12.770
13.030,81.960,15.888,12.710
13.180,82.440,15.923,12.820
13.350,82.160,15.949,12.770
13.540,81.870,15.977,12.820
13.590,82.400,16.003,12.870
13.610,82.110,16.031,12.820
13.610,82.250,16.057,12.770
13.640,82.200,16.083,12.820
13.710,82.680,16.109,12.870
13.880,82.300,16.135,12.870
13.840,82.350,16.160,12.770
13.920,82.200,16.186,12.820
13.950,82.680,16.214,12.820
13.980,82.490,16.235,12.820
14.100,82.200,16.262,12.820
14.110,82.590,16.288,12.820
14.140,82.110,16.315,12.870
14.220,82.590,16.341,12.820
14.220,81.920,16.365,12.820
14.140,82.350,16.393,12.820
13.740,82.300,16.415,12.870
13.870,82.110,16.441,12.710
13.690,82.400,16.469,12.870
13.900,82.400,16.494,12.920
14.080,82.200,16.518,12.610
14.120,82.300,16.544,12.770
14.140,82.440,16.571,12.770
14.220,82.160,16.597,12.820
14.380,81.870,16.622,12.710
14.500,82.490,16.649,12.920
14.480,81.960,16.674,12.820
14.560,82.400,16.700,12.870
14.390,82.640,16.730,12.870
14.260,82.160,16.754,12.820
14.260,82.540,16.773,12.820
14.070,82.250,16.805,12.870
14.230,82.200,16.829,12.770
14.360,82.160,16.854,12.710
14.420,82.350,16.882,12.820
14.470,81.920,16.907,12.660
14.390,82.400,16.931,12.820
14.430,82.440,16.959,12.820
14.550,82.490,16.983,12.870
14.530,82.060,17.012,12.820
14.450,82.440,17.036,12.870
14.680,82.010,17.062,12.920
14.680,82.490,17.088,12.920
14.750,82.730,17.114,12.820
14.930,82.200,17.140,12.870
15.030,81.960,17.164,12.710
14.910,82.440,17.191,12.870
15.020,82.110,17.218,12.820
15.040,82.540,17.242,12.920
15.160,82.060,17.268,12.820
15.240,82.540,17.295,12.870
15.290,82.300,17.322,12.870
15.360,81.960,17.347,12.710
15.400,82.200,17.372,12.820
14.390,82.400,17.438,12.770
14.640,82.440,17.462,12.820
14.800,82.060,17.485,12.710
14.830,82.590,17.513,12.820
15.100,82.920,17.538,12.870
15.240,83.260,17.565,12.870
15.250,83.590,17.591,12.870
15.120,82.160,17.618,12.610
15.310,82.400,17.643,12.820
15.500,82.110,17.670,12.610
15.510,82.160,17.696,12.870
15.490,82.640,17.721,12.820
15.460,82.970,17.745,12.870
15.440,83.310,17.773,12.870
15.620,82.680,17.796,12.770
15.620,82.830,17.822,12.870
15.800,83.210,17.848,12.820
15.830,83.590,17.876,12.870
15.760,82.110,17.901,12.820
15.870,82.640,17.928,12.870
16.030,82.970,17.953,12.870
16.080,83.350,17.979,12.870
16.000,82.350,18.004,12.450
15.990,82.400,18.031,12.870
16.010,81.920,18.059,12.820
16.060,82.350,18.083,12.870
16.100,82.640,18.109,12.770
16.060,82.440,18.135,12.920
15.900,82.490,18.158,12.820
15.810,82.160,18.186,12.820
16.030,82.440,18.213,12.870
16.090,82.400,18.240,12.870
16.260,82.490,18.265,12.820
16.140,82.300,18.290,12.820
16.190,82.400,18.314,12.770
16.250,82.300,18.341,12.770
16.300,82.350,18.365,12.870
16.400,81.770,18.391,12.660
16.310,82.200,18.416,12.770
16.370,82.250,18.444,12.710
16.310,82.350,18.470,12.820
16.150,82.060,18.495,12.820
16.390,82.490,18.520,12.870
16.480,82.250,18.548,12.770
16.490,82.400,18.573,12.820
16.570,82.640,18.600,12.870
16.420,82.200,18.625,12.820
16.580,82.110,18.651,12.820
16.700,82.300,18.678,12.770
16.760,82.400,18.704,12.820
16.890,81.820,18.731,12.820
16.690,82.350,18.758,12.820
16.690,82.640,18.783,12.820
16.690,81.920,18.808,12.820
16.750,82.300,18.837,12.820
16.820,82.590,18.861,12.920
16.810,81.920,18.885,12.820
16.870,82.400,18.912,12.870
16.750,82.640,18.939,12.870
16.810,81.960,18.965,12.820
16.770,82.350,18.992,12.820
16.790,82.400,19.018,12.820
16.810,82.350,19.043,12.870
16.990,82.730,19.068,12.770
